,Date,User,Tweet
0,2022-10-23 23:37:49+00:00,samsabwa,@waxspell @Safaricom_Care @AskPayPal sponyo alifinya maziwa akareverse
1,2022-10-23 23:36:25+00:00,zac124,"@Safaricom_Care @SafaricomPLC 

what are official roaming rates: 

1) making ""UK-to-Kenya"" calls &amp; sms's? 

2) receiving ""Kenya-to-UK"" calls &amp; sms's?

As of 23.10.22 Safaricom is charging: 
Ksh. 45/- UK-to-Kenya per minute calls
Ksh. 10/- UK-to-Kenya sms 

source: screenshots"
2,2022-10-23 23:19:35+00:00,tonui_ke,@Safaricom_Care check DM
3,2022-10-23 22:14:19+00:00,Safaricom_Care,"@martinkanini Hello Martin, please DM https://t.co/jF6LqBV8gk a screenshot of the messages for us to check and advise. ^SD"
4,2022-10-23 22:01:01+00:00,martinkanini,@Safaricom_Care am getting some OTP several of them at this time of the night? Is my number safe
5,2022-10-23 21:48:31+00:00,Reyherb254,@Cutie_254 @Safaricom_Care @iconic_gravity @itsMJ_Ke https://t.co/ftaiCGyI9Z
6,2022-10-23 21:29:20+00:00,Daktari_Kip,Fb @Safaricom_Care
7,2022-10-23 21:20:20+00:00,Safaricom_Care,"@c_hir_i Hello, you can view detailed data usage information anytime on this link https://t.co/qAfXyE0Fdx. Let us know if you experience a challenge with this. Have a good one.^CQ"
8,2022-10-23 21:11:45+00:00,RotinhoD,@Safaricom_Care  message kaa hii ni kitu mnaanza na dear shually😥 https://t.co/W0vfX7Niin
9,2022-10-23 21:08:48+00:00,c_hir_i,"#saf_for_you
🫤🙄I guess niko #6G 
@Safaricom_Care 
@SafaricomPLC https://t.co/tgtGZCDQZx"
10,2022-10-23 20:49:08+00:00,justKeith__,@Safaricom_Care no
11,2022-10-23 20:33:28+00:00,LieDnt,@Safaricom_Care kindly reply DM am stranded
12,2022-10-23 20:33:20+00:00,BabuEndere_AE,@Safaricom_Care @wahome_luis Check DM
13,2022-10-23 20:30:26+00:00,Elkanah1KE,@_AllanNgash @Safaricom_Care
14,2022-10-23 20:27:10+00:00,Safaricom_Care,"@wahome_luis Hello Luis, we regret the inconvenience caused. The issue that was, was resolved. Kindly DM us the challenge that you are experiencing, the affected till no., business name, nominated number, registered name and IDno., for us to check and advise. ^AO"
15,2022-10-23 20:24:11+00:00,ndavuti_,"@Safaricom_Care @Faithquina Kwanza kuopem google chrome wananyonyaa spidi,no videos no loading images"
16,2022-10-23 20:22:49+00:00,wahome_luis,@Safaricom_Care Are you aware that most traders have been unable to access mpesa till accounts for the last 24 hours?
17,2022-10-23 20:20:49+00:00,Safaricom_Care,"@Faithquina Hi Faith, data billing is volume based. Kindly log into https://t.co/erbI1UmEIw while on mobile data to view your usage. ^AO"
18,2022-10-23 20:19:50+00:00,MutumaFranklin7,"@Faithquina @Safaricom_Care @SafaricomPLC I thought ni simu yangu iko hivo,, kumbe tunaoshwa??"
19,2022-10-23 20:00:58+00:00,Safaricom_Care,"@drbundo4 @drbundo4 : Hello Drbundo4, sorry. Please find time and go back to the agent for assistance. ^LN"
20,2022-10-23 19:52:09+00:00,Safaricom_Care,"@lecture_band Hi, we are on it right away. ^BO"
21,2022-10-23 19:51:27+00:00,Safaricom_Care,"@justKeith__ Hi Keith. We are sorry to hear this. DM your phone number, full name registered and ID number we check. ^KD"
22,2022-10-23 19:51:03+00:00,Safaricom_Care,"@Qaris_ Hello Qaris_, please DM https://t.co/jF6LqBCZ2c their phone number and the country. ^AA"
23,2022-10-23 19:51:01+00:00,lecture_band,"@Safaricom_Care kindly check dm I've tried calling you but it ain't going through.
It will be of great help"
24,2022-10-23 19:49:18+00:00,Qaris_,@Safaricom_Care @SafaricomPLC hi a friend travelled to middle east and one of his safcom line isnt responding
25,2022-10-23 19:49:09+00:00,I_KIBZ,Oya @Safaricom_Care and @SafaricomPLC wangwan you want mi to hotspot you? Why sell data someone cyaa use totally useless https://t.co/sKd6b8Ns1c
26,2022-10-23 19:47:57+00:00,justKeith__,@Safaricom_Care sasa line yangu mnafunga ya nini.. you guys are ass https://t.co/3gxg8MgIqb
27,2022-10-23 19:40:36+00:00,abuayman888,@tugengirl Hata ikiwa ni unregistered number (read Airtel) huo ni ukora from @SafaricomPLC @Safaricom_Care thats too exhortation of the highest order
28,2022-10-23 19:24:40+00:00,Ocampojohnte,@Safaricom_Care Wakuu kwni mko site ama niwatu wamesamehewa madeni
29,2022-10-23 19:20:57+00:00,Safaricom_Care,@Kenmwafrika Hi Ken. We are checking on it. Forward such numbers and suspicious messages to 333 for free we investigate. ^KD
30,2022-10-23 19:10:14+00:00,Kenmwafrika,@Safaricom_Care thought you deactivated these numbers? https://t.co/FJ7ZuFjarA
31,2022-10-23 19:03:50+00:00,Safaricom_Care,"@anto_mokis Hello Mokis, sorry to hear that.. Please DM https://t.co/jF6LqBCZ2c your number for us to have a look. ^SD"
32,2022-10-23 18:49:30+00:00,Safaricom_Care,@waxspell Thank you for sharing with us. We are following up on the issue with Paypal and we'll get back to you on it. ^AO
33,2022-10-23 18:49:14+00:00,Safaricom_Care,"@DjRagos Hi Ragos, kindly check your DM for a response. ^BO"
34,2022-10-23 18:49:04+00:00,Hydrah_ke,"Ex wangu amefungiwa sim card 😂
Shukran @Safaricom_Care 😂"
35,2022-10-23 18:43:52+00:00,Safaricom_Care,"@mtemi_bin_fatma Hello Issa, on it. ^AO"
36,2022-10-23 18:41:10+00:00,peter_karanja_,"@Safaricom_Care @Safaricom_Care Nothing in my DM, kindly let's us know how fast you can implement this considering we're covered with both underground and overhead fiber in the area."
37,2022-10-23 18:28:08+00:00,waxspell,"@imkipngeno @Safaricom_Care @AskPayPal The same issue, the money keeps getting refunded to my account. And @Safaricom_Care it's not them, it's @PayPal @AskPayPal 

How was your situaution resolved in the long run?"
38,2022-10-23 18:24:24+00:00,Mersh_q08,"After umebuy Credo ya 1000 badala ya kuwithdraw
@Safaricom_Care 😂😂 https://t.co/I5NAwWVhmz"
39,2022-10-23 18:22:49+00:00,waxspell,@Safaricom_Care @AskPayPal @Safaricom_Care https://t.co/pKgeY8zHTO
40,2022-10-23 18:21:34+00:00,waxspell,"@Safaricom_Care @Safaricom_Care In the spirit of simplicity, honesty and transparency here is the snippet. @AskPayPal points the issue to mpesa https://t.co/9pnYkjQX3D"
41,2022-10-23 18:20:02+00:00,oduorbr_ian,@Safaricom_Care  can you do away with these pop up mesaages. https://t.co/c3sAtIIr9P
42,2022-10-23 18:17:53+00:00,mtemi_bin_fatma,@Safaricom_Care Kindly check DM and action
43,2022-10-23 18:12:35+00:00,Safaricom_Care,@peter_karanja_ Hi Peter. Please check your DM. ^JB
44,2022-10-23 18:06:50+00:00,Johnmigw,@HonSakaja1 @Rutokimge @omwambaKE @shan @SafaricomPLC @Safaricom_Care Hio ni pesa ndogo sana I am not that cheap
45,2022-10-23 18:05:46+00:00,KBusienei,@Safaricom_Care Unfortunately we are not within Kenya and we have been using our phones for transfers and communication with family. Really unfortunate.
46,2022-10-23 18:03:03+00:00,Safaricom_Care,@WairimuNyathira Checking. ^GB
47,2022-10-23 17:59:50+00:00,antho_ke_,Hey @Safaricom_Care ni kama hamjui new sim card ni 50bob😂😂 https://t.co/9QNgJ9K58j
48,2022-10-23 17:57:17+00:00,abdulmotivatuon,"@missyHaroona @SafaricomPLC @SafaricomPLC @Safaricom_Care @PeterNdegwa_ do something, you guys have put pastorist to more draught threat. They use Mulika, 'we' couldn't help everyone. Thousands were getting help through m-pesa @HonAdenDuale @WGAdhe1 @PacidaKenya"
49,2022-10-23 17:56:44+00:00,edmondtwigga,@Safaricom_Care is it possible to make replacement I myself
50,2022-10-23 17:56:36+00:00,sonofkiangoma,@__________Nerry @Safaricom_Care Wacha tuone kama saf watafanya the thing.
51,2022-10-23 17:55:18+00:00,stephen90274040,@Safaricom_Care 0748608866
52,2022-10-23 17:55:12+00:00,stephen90274040,@Safaricom_Care It was launched in August 2nd 2022.#TuinuaneCustomerObsessionMonth
53,2022-10-23 17:53:07+00:00,stephen90274040,@Safaricom_Care It was launched in August 2nd 2022
54,2022-10-23 17:53:01+00:00,ceekay_254,@Safaricom_Care Oh wow 😯
55,2022-10-23 17:47:45+00:00,mwirigy,"@Safaricom_Care this short code 21271 is pushing unsolicited sign up request, second time now. That's a likely misuse of privilege you've given them, if it's your network code. Wag a finger at them.."
56,2022-10-23 17:46:10+00:00,sewley,@Safaricom_Care
57,2022-10-23 17:45:58+00:00,__________Nerry,@sonofkiangoma @Safaricom_Care Try rebooting your device or Get another replacement line
58,2022-10-23 17:44:44+00:00,Mheshmohaa,@ayubmohamed653 @SafaricomPLC @Safaricom_Care Finally..... https://t.co/fRKq5ZxT72
59,2022-10-23 17:44:39+00:00,ceekay_254,Another zuri account @Safaricom_Care @SafaricomPLC https://t.co/83EGgMUEC2
60,2022-10-23 17:43:28+00:00,mushayei,@Liez_Liz @Safaricom_Care When you call em on 100 press 2 then press 0. They'll ask you to repeat some sentence then redirect you to an open line
61,2022-10-23 17:39:56+00:00,Safaricom_Care,@ceekay_254 We're on it. ^SD
62,2022-10-23 17:38:15+00:00,Mheshmohaa,@ayubmohamed653 @SafaricomPLC @Safaricom_Care After 46 minutes @Safaricom_Care didn't even responded. Sad indeed @IamDulazee
63,2022-10-23 17:38:11+00:00,ceekay_254,@Safaricom_Care kindly check the tweets I’ve sent over the past 6hrs…no reply.Are you really the better option.#Tukiuke vipi?Scammers are also taking advantage with your slow reply
64,2022-10-23 17:35:30+00:00,sonofkiangoma,@Safaricom_Care Ok
65,2022-10-23 17:35:11+00:00,ceekay_254,@Safaricom_Care @UnderratedGeni1 Kindly reply to my dm
66,2022-10-23 17:34:47+00:00,Safaricom_Care,"@sonofkiangoma Hi, sorry about that. Kindly DM us the affected mobile number, registered name and IDno. for us to advise. ^AO"
67,2022-10-23 17:34:31+00:00,ceekay_254,@waxspell @Safaricom_Care Kindly reply to my dm
68,2022-10-23 17:33:45+00:00,ceekay_254,@MsMukabi @SafaricomPLC @Safaricom_Care Kindly reply to my dm
69,2022-10-23 17:33:01+00:00,Oriji__,@Safaricom_Care check DM
70,2022-10-23 17:32:36+00:00,Infamouskellv,@_AllanNgash @SafaricomPLC @Safaricom_Care Hr sijui kama una nipata 😪?
71,2022-10-23 17:31:43+00:00,ChumaDickens,"@HonSakaja1 @Rutokimge @omwambaKE @shan @SafaricomPLC @Safaricom_Care Give That to the 210 loyal ones, thank me later🙏"
72,2022-10-23 17:27:36+00:00,peter_karanja_,"@Safaricom_Care @SafaricomPLC https://t.co/0e4dERIjcQ

Poor network coverage, call drops ,high latencies. You can't stream neither make a continuous call without packet drops. Consider visiting for a future solution"
73,2022-10-23 17:27:12+00:00,Inquisitive254,Do you have modems and MiFi? Drop link @Safaricom_Care @AIRTEL_KE @TelkomKenya
74,2022-10-23 17:26:01+00:00,RayAochieng,@sonofkiangoma @Safaricom_Care Juzi nilienda huko kukeleleshana hizi mchezo huwa sipendi mimi.
75,2022-10-23 17:25:01+00:00,ceekay_254,@Safaricom_Care @MsMukabi Kindly reply to my query you asked me to dm my number and I’ve done that
76,2022-10-23 17:19:00+00:00,ceekay_254,@Safaricom_Care @Molly_Brandy @Monicpeterz @mullaa99 @mutai_eleazer @muuo_meshack @Mzaleeh @OgariPau @Opekid2 @Sharon_monica0 @Spin_pesa @sporty_trina @Stellat_Ngatz @TelvinOmondi @Tutor_Miller @valw254 @Vincent5077 Kindly check inbox
77,2022-10-23 17:18:12+00:00,ceekay_254,@Safaricom_Care Kindly reply…so that I may know what steps I’ll take I need to call people
78,2022-10-23 17:16:49+00:00,WairimuNyathira,@Safaricom_Care check DM
79,2022-10-23 17:14:29+00:00,ceekay_254,@Safaricom_Care @MsMukabi It’s been 6hrs
80,2022-10-23 17:14:20+00:00,ceekay_254,@Safaricom_Care @MsMukabi Kindly reply to my dm
81,2022-10-23 17:09:19+00:00,MsMukabi,@Safaricom_Care Yes thank-you
82,2022-10-23 17:06:55+00:00,Safaricom_Care,@MsMukabi You should be okay now. ^SD
83,2022-10-23 17:04:59+00:00,Safaricom_Care,"@waxspell Hi Wax, we sent an sms as; Jambo , we are still following up  on your Paypal transaction query with our partner  . Please be patient as we await feedback. Thank you. 
Please allow us to follow up. We shall advise once completed. ^GB"
84,2022-10-23 16:57:50+00:00,ceekay_254,@Safaricom_Care @SafaricomPLC https://t.co/wgLp0ViQVz
85,2022-10-23 16:57:42+00:00,Safaricom_Care,@UnderratedGeni1 Hi. You have to visit Safaricom Shops to purchase the QR code. Find more details on eSim here https://t.co/rJAKYOJ6mD . ^JB
86,2022-10-23 16:57:17+00:00,EddyMnasty,@Kushmapesa Cc @Safaricom_Care
87,2022-10-23 16:57:13+00:00,ceekay_254,@Safaricom_Care Check dm
88,2022-10-23 16:53:03+00:00,ayubmohamed653,@Mheshmohaa @SafaricomPLC @Safaricom_Care Ninja ndio ame save true caller yake ivo 😂
89,2022-10-23 16:51:13+00:00,BabaTedashii,@Cofek_Africa @CA_Kenya How come  @Safaricom_Care allowed Kash plus to access my information sent me a message that was intended to extort money from me?@Safaricom_Care Your platform has been used to rob me.
90,2022-10-23 16:50:37+00:00,Mheshmohaa,"What is this number, I got a call from this. @SafaricomPLC @Safaricom_Care 

Truecaller.... Confirm it as safcom https://t.co/780xVAOAtB"
91,2022-10-23 16:50:22+00:00,Safaricom_Care,@KiprutoKE We've responded to your DM. ^AO
92,2022-10-23 16:48:09+00:00,ceekay_254,@Safaricom_Care kindly check dm…..
93,2022-10-23 16:46:40+00:00,Kim_Finesse,@Safaricom_Care @real_parody_ Help a comrade😂😂😂
94,2022-10-23 16:44:04+00:00,sonofkiangoma,@Safaricom_Care you made me pay money to replace a line and told me it would be ready in 72 hours it’s been more than a month jameni and nothing. I am not lining up again in your Nyeri shop wallahi💀
95,2022-10-23 16:38:24+00:00,real_parody_,@Safaricom_Care Si mniwai tu juu ya hio story...iko mbali bwana😂😂💔💔
96,2022-10-23 16:26:21+00:00,EmilyJeremy5,@Cutie_254 @Safaricom_Care @iconic_gravity @itsMJ_Ke https://t.co/07jB9nGkkd
97,2022-10-23 16:25:05+00:00,Liez_Liz,What does someone have to do to speak to an agent at @Safaricom_Care all I’m getting are just prompts that are unnecessary for the query i have 🤦‍♀️.
98,2022-10-23 16:22:16+00:00,HonSakaja1,"Ksh50 Credit for the first 1000 followers. 
@Rutokimge @omwambaKE @shan @SafaricomPLC @Safaricom_Care https://t.co/NBXW2zTPOo"
99,2022-10-23 16:21:22+00:00,Safaricom_Care,"@real_parody_ Jambo Xavier, ni Birthday yako leo? ^GB"
100,2022-10-23 16:21:15+00:00,dixon_bn,"@Safaricom_Care money was sent in my account since friday upto now you've not credit my account since then ,whats wrong with you people .?"
101,2022-10-23 16:20:30+00:00,masafamare_fu,Oya @Safaricom_Care what with registering a new line only to find that it has an existing M-Shwari debt of over Ksh. 2600 since June 2021? Check dm.
102,2022-10-23 16:20:10+00:00,MsMukabi,@Safaricom_Care Yes .
103,2022-10-23 16:18:13+00:00,Safaricom_Care,"@MsMukabi Hello MsMukabi sorry about this,kindly confirm if this the number in question 0702****88 ^ED"
104,2022-10-23 16:13:55+00:00,LilianN95486747,@Macha_Icon @Safaricom_Care Zuri ni mali safi Sasa ww😒
105,2022-10-23 16:13:55+00:00,LilianN95486747,@Macha_Icon @Safaricom_Care Zuri ni mali safi Sasa ww😒
